transaction_id,timestamp,customer_id,stock_ticker,transaction_type,quantity,average_trade_size,stock_price,total_trade_amount,customer_account_type,day_name,is_weekend,is_holiday,stock_liquidity_tier,stock_sector,stock_industry
6253,2024-03-14,1006,STK006,BUY,477,267.17625,71.65242981011856,34178.209019426555,Retail,Thursday,False,False,High,Energy,Oil & Gas
4685,2023-12-04,4955,STK006,SELL,137,207.79,94.43958142789144,12938.222655621128,Retail,Monday,False,False,High,Energy,Oil & Gas
1732,2023-05-04,696,STK012,BUY,155,155.0,20.69213814906549,3207.281413105151,Retail,Thursday,False,False,High,Technology,Hardware
4743,2023-12-06,4955,STK013,SELL,12,208.4,128.35260245942936,1540.2312295131524,Retail,Wednesday,False,False,Mid,Energy,Utilities
4522,2023-11-22,1816,STK018,SELL,91,173.12,232.5033292857061,21157.802964999253,Retail,Wednesday,False,False,Mid,Technology,Software
6341,2024-03-20,1899,STK009,BUY,1509,267.17625,453.0888018696642,683711.0020213233,Retail,Wednesday,False,False,High,Technology,Hardware
577,2023-02-08,3588,STK005,BUY,106,169.53,188.04131337039905,19932.3792172623,Retail,Wednesday,False,False,Low,Energy,Renewables
5203,2024-01-03,1513,STK010,SELL,372,179.31,169.25554709012007,62963.06351752466,Retail,Wednesday,False,False,High,Consumer,Retail
6364,2024-03-21,3588,STK019,BUY,79,178.61,51.01282731782194,4030.013358107933,Retail,Thursday,False,False,Mid,Energy,Oil & Gas
440,2023-01-30,182,STK009,BUY,19,267.17625,243.3895855048694,4624.402124592519,Retail,Monday,False,True,High,Technology,Hardware
2751,2023-07-20,3588,STK012,BUY,514,165.12,17.408084947597036,8947.755663064876,Retail,Thursday,False,False,High,Technology,Hardware
7488,2024-06-11,4747,STK007,SELL,13,202.27,127.73111023729344,1660.5044330848148,Retail,Tuesday,False,False,Mid,Energy,Oil & Gas
5273,2024-01-08,845,STK006,BUY,689,184.87,126.1116831165163,86890.94966727974,Retail,Monday,False,False,High,Energy,Oil & Gas
5654,2024-01-31,4955,STK001,SELL,52,211.02,62.12695996446321,3230.601918152087,Retail,Wednesday,False,False,Low,Energy,Utilities
4000,2023-10-18,979,STK013,BUY,146,146.0,127.33323715453704,18590.652624562408,Institutional,Wednesday,False,False,Mid,Energy,Utilities
6034,2024-02-28,4519,STK006,SELL,128,204.23,86.79467454235154,11109.718341420998,Institutional,Wednesday,False,False,High,Energy,Oil & Gas
583,2023-02-08,4747,STK006,BUY,87,150.76,132.03471825831284,11487.020488473216,Retail,Wednesday,False,False,High,Energy,Oil & Gas
9931,2024-12-03,3938,STK006,BUY,59,212.32,50.32476101917984,2969.1609001316106,Retail,Tuesday,False,False,High,Energy,Oil & Gas
7052,2024-05-10,3322,STK008,BUY,249,223.85,139.77321738473435,34803.53112879885,Retail,Friday,False,False,High,Energy,Oil & Gas
8159,2024-07-31,3623,STK018,SELL,12,193.76,105.22731911576103,1262.7278293891325,Institutional,Wednesday,False,False,Mid,Technology,Software
9897,2024-11-29,1956,STK013,BUY,55,121.72625000000004,96.8743139459276,5328.087267026018,Retail,Friday,False,False,Mid,Energy,Utilities
2250,2023-06-12,1513,STK017,BUY,81,215.4,141.79693071461153,11485.551387883534,Retail,Monday,False,False,Mid,Healthcare,Pharmaceuticals
4641,2023-11-30,2475,STK006,BUY,91,121.72625000000004,88.60283884123474,8062.858334552361,Retail,Thursday,False,False,High,Energy,Oil & Gas
9486,2024-10-31,3938,STK019,SELL,95,210.11,39.64997175899531,3766.747317104554,Retail,Thursday,False,False,Mid,Energy,Oil & Gas
4948,2023-12-19,3779,STK006,BUY,124,124.0,96.80866955009398,12004.275024211654,Institutional,Tuesday,False,False,High,Energy,Oil & Gas
9921,2024-12-02,594,STK010,BUY,265,267.17625,358.9875827091711,95131.70941793034,Retail,Monday,False,False,High,Consumer,Retail
1964,2023-05-23,4747,STK009,SELL,128,194.68,320.13412925114653,40977.16854414676,Retail,Tuesday,False,False,High,Technology,Hardware
8244,2024-08-06,3339,STK013,SELL,69,249.15,115.00296716627746,7935.204734473144,Retail,Tuesday,False,False,Mid,Energy,Utilities
6591,2024-04-05,4747,STK020,SELL,37,202.71,48.14432639978804,1781.3400767921576,Retail,Friday,False,False,Mid,Energy,Oil & Gas
8848,2024-09-18,1903,STK009,BUY,236,160.75,459.8613243059508,108527.2725362044,Retail,Wednesday,False,False,High,Technology,Hardware
322,2023-01-20,193,STK013,BUY,20,166.06,165.4054547011188,3308.109094022376,Retail,Friday,False,False,Mid,Energy,Utilities
2679,2023-07-14,1513,STK006,BUY,44,209.8,96.20514567876684,4233.026409865741,Retail,Friday,False,False,High,Energy,Oil & Gas
4626,2023-11-29,4747,STK009,SELL,77,201.31,368.50351753493055,28374.77085018965,Retail,Wednesday,False,False,High,Technology,Hardware
4950,2023-12-19,182,STK009,SELL,209,267.17625,371.2134748493913,77583.61624352277,Retail,Tuesday,False,False,High,Technology,Hardware
8329,2024-08-13,1771,STK006,BUY,41,267.17625,44.649730409731866,1830.6389467990064,Retail,Tuesday,False,False,High,Energy,Oil & Gas
3338,2023-08-30,1157,STK013,SELL,247,160.59,131.74623842402875,32541.3208907351,Retail,Wednesday,False,False,Mid,Energy,Utilities
5590,2024-01-25,845,STK018,BUY,19,181.58,179.8133491826209,3416.453634469797,Retail,Thursday,False,False,Mid,Technology,Software
252,2023-01-17,4747,STK018,SELL,26,190.28,106.87282700632382,2778.6935021644194,Retail,Tuesday,False,False,Mid,Technology,Software
3974,2023-10-17,4023,STK004,BUY,177,202.7,58.202440984025166,10301.832054172455,Retail,Tuesday,False,False,Low,Finance,Asset Management
6631,2024-04-10,1494,STK006,BUY,287,267.17625,59.71832679363459,17139.159789773126,Retail,Wednesday,False,False,High,Energy,Oil & Gas
5548,2024-01-24,1870,STK008,BUY,48,121.72625000000004,149.57179051048882,7179.445944503464,Retail,Wednesday,False,False,High,Energy,Oil & Gas
36,2023-01-03,4747,STK013,BUY,74,212.29,157.96263594264707,11689.235059755883,Retail,Tuesday,False,False,Mid,Energy,Utilities
8363,2024-08-15,3339,STK012,SELL,102,241.8,8.862304168854372,903.955025223146,Retail,Thursday,False,False,High,Technology,Hardware
1514,2023-04-18,4955,STK010,BUY,190,221.32,137.0630651482724,26041.982378171757,Retail,Tuesday,False,False,High,Consumer,Retail
9318,2024-10-21,1797,STK006,BUY,142,121.72625000000004,46.13474377083418,6551.133615458453,Retail,Monday,False,False,High,Energy,Oil & Gas
40,2023-01-03,98,STK020,BUY,29,121.72625000000004,96.49892284201808,2798.468762418524,Retail,Tuesday,False,False,Mid,Energy,Oil & Gas
4820,2023-12-11,227,STK018,BUY,60,210.2,221.48295115049496,13288.977069029695,Retail,Monday,False,False,Mid,Technology,Software
3466,2023-09-08,1157,STK003,BUY,46,159.17,16.762794293998887,771.0885375239488,Retail,Friday,False,False,Low,Technology,Software
1761,2023-05-08,1513,STK009,SELL,42,234.33,317.5974383446467,13339.092410475165,Retail,Monday,False,False,High,Technology,Hardware
2305,2023-06-15,1513,STK006,SELL,637,214.43,117.54801686937289,74878.08674579053,Retail,Thursday,False,False,High,Energy,Oil & Gas
3724,2023-09-27,4747,STK006,BUY,1018,205.24,117.49517997715508,119610.09321674387,Retail,Wednesday,False,False,High,Energy,Oil & Gas
8285,2024-08-08,280,STK012,BUY,282,252.29,8.989066948756355,2534.916879549292,Institutional,Thursday,False,False,High,Technology,Hardware
4994,2023-12-21,4747,STK006,SELL,80,206.96,94.17780933855906,7534.224747084725,Retail,Thursday,False,False,High,Energy,Oil & Gas
8128,2024-07-29,1903,STK006,BUY,386,150.0,48.1982487339256,18604.52401129528,Retail,Monday,False,True,High,Energy,Oil & Gas
3033,2023-08-09,1797,STK011,BUY,59,126.71,80.19051898330342,4731.240620014902,Retail,Wednesday,False,False,Mid,Finance,Asset Management
7939,2024-07-12,2741,STK017,BUY,558,267.17625,153.02839262051984,85389.84308225007,Retail,Friday,False,False,Mid,Healthcare,Pharmaceuticals
3040,2023-08-10,3129,STK006,SELL,535,267.17625,101.6346510578804,54374.53831596602,Institutional,Thursday,False,False,High,Energy,Oil & Gas
9656,2024-11-14,2317,STK013,SELL,48,121.72625000000004,94.6550533493447,4543.442560768545,Institutional,Thursday,False,False,Mid,Energy,Utilities
2546,2023-07-04,3087,STK018,SELL,127,121.72625000000004,164.32849576562177,20869.718962233965,Retail,Tuesday,False,False,Mid,Technology,Software
2593,2023-07-07,3032,STK009,BUY,1104,267.17625,350.1078132751387,386519.0258557532,Retail,Friday,False,False,High,Technology,Hardware
1189,2023-03-27,4747,STK006,BUY,1147,205.7,132.0278016666596,151435.88851165856,Retail,Monday,False,False,High,Energy,Oil & Gas
7967,2024-07-16,3588,STK010,BUY,197,186.15,206.07789758336088,40597.34582392209,Retail,Tuesday,False,False,High,Consumer,Retail
6078,2024-03-01,3961,STK013,BUY,263,267.17625,119.15828422509556,31338.628751200133,Retail,Friday,False,False,Mid,Energy,Utilities
108,2023-01-06,4747,STK013,SELL,117,186.38,159.6197714568813,18675.51326045511,Retail,Friday,False,False,Mid,Energy,Utilities
1316,2023-04-04,4955,STK020,BUY,85,217.66,69.25731287374525,5886.871594268347,Retail,Tuesday,False,False,Mid,Energy,Oil & Gas
8188,2024-08-02,4046,STK006,BUY,139,139.0,45.44699602554687,6317.132447551016,Retail,Friday,False,False,High,Energy,Oil & Gas
2754,2023-07-20,4987,STK018,BUY,36,121.72625000000004,189.2128918200572,6811.664105522059,Retail,Thursday,False,False,Mid,Technology,Software
9754,2024-11-22,1636,STK006,BUY,130,121.72625000000004,50.182207132904594,6523.6869272775975,Retail,Friday,False,False,High,Energy,Oil & Gas
6232,2024-03-13,1185,STK006,BUY,544,267.17625,74.48224065582532,40518.338916768975,Institutional,Wednesday,False,False,High,Energy,Oil & Gas
2877,2023-07-28,4776,STK006,BUY,156,163.0,96.69925992001905,15085.08454752297,Retail,Friday,False,False,High,Energy,Oil & Gas
